id,name,category,citation,chapter,actor,domain,layer,module,algorithm,rule,worked_expression,has_expression
204,Referring Expression Selection,Internal,§112.3,112,—,D7 Grounded Expression,Reasoning,D7.ch112,"Realize an entity in full registered form at first mention within a discourse unit and in reduced form thereafter; restore full form where a same-type entity intervenes or a new discourse unit begins. Ambiguity is decided by Ontology Mesh type rather than surface form, and full form is used wherever the test is indeterminate, since an unnecessary repetition costs a reader nothing and an ambiguous pronoun costs them the sentence.",Reduced form is permitted only where no same-type entity intervenes since the last full mention within the discourse unit.,"=IF(COUNTIF({""first-mention"",""same-type-intervening""},""same-type-intervening"")>0,""Full form required"",""Reduced form permitted"")",True
205,Connective Emission,Internal,§112.4,112,—,D7 Grounded Expression,Reasoning,D7.ch112,"Emit a connective marking the relation type of the Narrative Graph edge joining two sequentially-realized propositions — causal, adversative, expository, illustrative, sequential, concessive — selecting within the class by expressive register and sentence position so no connective recurs mechanically; emit none where no typed edge joins the propositions, since asserting an unbacked relation would assert what no record supports.",A connective is emitted only where a typed edge joins the two propositions; the class follows the edge type.,"=IF(COUNTIF({""CONTRASTS"",""CAUSES"",""ELABORATES""},""CONTRASTS"")>0,""Emit contrastive connective"",""No connective"")",True
206,Given-Before-New Ordering,Internal,§112.5,112,—,D7 Grounded Expression,Reasoning,D7.ch112,"Order constituents within a sentence so that material already realized in the preceding sentence precedes material new to the response, computed from the response's own prior content rather than from general familiarity; yield absolutely to target-language syntax, and exempt wording-operative spans, which are reproduced in source order because reordering would alter the wording that carries force.","A constituent realized in the preceding sentence is ordered ahead of one not yet realized, where target-language syntax permits.","=MIN(4,MAX(1,3))",True
207,Fingerprint-Bounded Lexical Variation,Internal,§112.6,112,—,D7 Grounded Expression,Reasoning,D7.ch112,"Substitute a registered synonym for a recurring term only where the proposition's semantic fingerprint is unchanged by the substitution, making variation verifiable rather than a source of drift; draw synonymy from resources registered under §4.9 so every admitted substitution is licensed and recorded; never vary a term inside a wording-operative span, a registered canonical entity name, or a governed discipline term.",A substitution is admitted only where the canonicalized triple's semantic fingerprint is preserved.,"=IF(0.94>=0.9,""Substitution admitted; fingerprint preserved"",""Refused - fingerprint would change"")",True
208,Commercial Eligibility Determination,User-Facing,§113.1,113,Reader,D13 Commerce & Entitlement Tokens,Platform,D13.ch113,"Determine eligibility of a commercial item from four already-established facts about the request — registered rights, recorded territory, delivered edition, device class — and from no other input; inferred ergonomic, cognitive-load and affective signals remain unavailable to commercial selection, a declared cultural profile may bound eligibility where an item's registration is locale-specific; where the eligible set is empty the commercial region is omitted and the omission is not disclosed, since a region that reports having nothing to show conveys information about the requester.",Eligibility is computed from declared request facts only; any inferred personal signal is barred from the determination.,"=IF(COUNTIF({""rights"",""territory"",""edition"",""device""},""cognitive-load"")>0,""Refused - inferred signal barred from commerce"",""Eligibility computed from declared facts"")",True
209,Placement Class and Density Ceiling,User-Facing,§113.2,113,Reader,D13 Commerce & Entitlement Tokens,Platform,D13.ch113,"Present a commercial item only in a registered placement class — inline between sections, edition-aligned, media-adjacent, or spatial within an immersive presentation — each a labelled region never interleaved with response propositions so position distinguishes answer from commerce; bound placements per response and per session by a configured density ceiling, omitting rather than deferring an item that exceeds it; capture and derive no gaze, dwell, head-pose or attention signal in any class.",A placement is admitted only where the running count remains within the configured per-response and per-session ceiling.,"=IF(AND(1=1,3<=5),""Placement admitted within density ceiling"",""Refused - density ceiling exceeded"")",True
210,Advertiser Provenance Record,Admin,§113.3,113,Operator,D13 Commerce & Entitlement Tokens,Platform,D13.ch113,"Register each commercial item with the presenting party's verified identity, the rights permitting presentation, covered territories, validity interval and registering operator, refusing registration where any is absent; record each presentation in the Provenance Ledger with item, placement class, occasioning concept identifier, eligibility facts and computed score, so a presentation is auditable against the rules in force at the time. A commercial item is not a knowledge record: not citable, not traversable, contributing to no confidence value, and any assertion within it is labelled as the presenting party's.","Selection score = weighted sum of relevance, source-priority and bid factors with weights summing to unity; recorded per presentation.",=0.4*0.9+0.3*0.7+0.3*0.6,True
211,Territory Price Registration,Admin,§113.5,113,Operator,D13 Commerce & Entitlement Tokens,Platform,D13.ch113,"Register each commerce object — edition, media asset, immersive experience, bundle, institutional or classroom licence, supplemental pack — with the rights permitting sale, the territories in which it may be sold, and a price per territory and currency; withhold the offer in a territory for which no price is registered rather than offering at a default.",An offer is made only where a price is registered for the request's territory and currency.,"=IF(COUNTIF({""US"",""CA"",""UK""},""US"")>0,""Territory price applied"",""Refused - no price registered for territory"")",True
212,Transaction Reconciliation,Admin,§113.5,113,Operator,D13 Commerce & Entitlement Tokens,Platform,D13.ch113,"Perform purchase, rent, subscribe, unlock, upgrade or transfer against a registered commerce object, producing a transaction record carrying acting identity, object, action, price and currency, territory, rights validation relied upon and a ledger reference; supersede rather than delete a prior entitlement on upgrade; refuse a transaction that cannot be reconciled against an entitlement change rather than recording it pending, so entitlement state and transaction history cannot diverge; a token whose state disagrees with the entitlement record raises a divergence finding, the entitlement remaining authoritative.",A transaction is recorded only where the entitlement change reconciles exactly; an unreconcilable transaction is refused.,"=IF(0=0,""Ledger balanced; transaction recorded"",""Refused - transaction not reconcilable"")",True
213,Commandable Equipment Registration,Admin,§114.1,114,Operator,D6 World Model & Perception,Knowledge,D6.ch114,"Register each commandable unit of the capture and inspection class — pan-tilt-zoom head, lighting fixture, bounded-volume capture drone, inspection arm, mobile capture base, positioning stage — with its kinematic envelope, velocity and force limits and operating volume; refuse emission to a unit missing any of these and to any class outside scope. The §96.8 vehicle prohibition is unchanged: vehicle telemetry remains analysis-only and no vehicle control interface exists.","A command is emitted only to a registered unit of an in-scope class whose registration carries envelope, limits and volume.","=IF(COUNTIF({""pan-tilt-head"",""capture-drone"",""inspection-arm""},""vehicle"")>0,""Refused - class outside authorized scope"",""Equipment class in scope"")",True
214,Session Authorization for Actuation,Admin,§114.3,114,Operator,D6 World Model & Perception,Knowledge,D6.ch114,"Grant command authority per session rather than per command, recorded with the authorizing operator's identity, covered units, permitted volume, permitted task classes and expiry; halt emission on expiry rather than prompting mid-motion; effect revocation before the next command rather than at plan end; confer no capability over unnamed equipment; record in the Provenance Ledger so every command traces to its authorization and grantor.","Emission proceeds only while the session authorization is unexpired, unrevoked, and covers the unit, volume and task class.","=IF(AND(1=1,120<=300),""Session authorization valid"",""Refused - authorization expired"")",True
215,Pre-Emission Constraint Veto,Internal,§114.5,114,—,D6 World Model & Perception,Knowledge,D6.ch114,"Evaluate every command before emission against operating volume, kinematic envelope, velocity and force limits, minimum obstacle clearance, human exclusion distance, inter-unit swept-volume overlap and recording-restricted zones; withhold any violating command unconditionally — not emitted at reduced priority, not emitted with a warning, and not automatically modified into a permissible command.",A command is emitted only where every constraint test passes; a single violation withholds emission outright.,"=IF(AND(1=1,0.42<=0.6),""Command emitted"",""Vetoed - clearance below minimum"")",True
216,Safety-Only Human Proximity Detection,Internal,§114.5,114,—,D6 World Model & Perception,Knowledge,D6.ch114,"Detect persons solely to compute exclusion clearance along a commanded trajectory; retain no detection beyond the instant of evaluation, admit none to any result set, make none queryable and expose none to any other mechanism. This preserves the standing exclusion of person classifications from result sets while allowing a machine to avoid people: a system that could not see a person could not avoid one, and one that remembers seeing them is a surveillance capability.",Governing clearance is the lesser of measured distance to a detected person and the configured exclusion distance.,"=MIN(0.35,0.6)",True
217,Halt Path Independent of Reasoning,Internal,§114.6,114,—,D6 World Model & Perception,Knowledge,D6.ch114,"Emit a halt on clearance or proximity breach, stale equipment state, authorization expiry or revocation, sensor-stream loss, or explicit request; evaluate the halt directly from equipment state and constraint set without traversing retrieval, stabilization, generation or interpretive modulation, so it cannot be delayed by a query in progress; place the unit in its registered safe state and require an explicit resume; record every halt so repeated halts on a unit or task class are queryable.","A halt triggers where measured clearance falls to or below the configured minimum, evaluated outside the reasoning path.","=IF(0.42<=0.6,""Halt - clearance breach"",""Continue"")",True
218,Assistive Contact Registration and Hazard Analysis,Admin,§115.1,115,Operator,D6 World Model & Perception,Knowledge,D6.ch115,"Register a unit making intentional contact with a person under an authorization class disjoint from Chapter 114's, in one of three classes — servant (carries or hands over), assistant (supplements movement), carrier (bears weight); refuse registration where a hazard analysis for the intended task, user and environment has not been completed and recorded with the assessor's identity, since every later requirement is meaningless if the hazards were never enumerated. A device registered under both chapters is governed by the authorization under which a given command was emitted.",Registration is refused absent a recorded hazard analysis; the two authorization classes confer nothing on one another.,"=IF(AND(1=1,1=1),""Contact authorized"",""Refused - both authorizations required"")",True
219,Two-Party Contact Authorization,Admin,§115.2,115,Operator / Reader,D6 World Model & Perception,Knowledge,D6.ch115,"Require a deployment authorization from an identified operator and a contact consent from the assisted person concurrently, neither substituting for the other: deployment establishes contact is permissible, consent establishes it is wanted. Consent is bounded to task class and interval and does not persist across sessions. Withdrawal by the assisted person through any registered channel halts within the registered stopping interval and cannot be overridden by an operator, a representative or a task in progress; an operator halt is not a withdrawal and does not require re-consent.",Contact proceeds only while both authorizations are held; a withdrawal by the assisted person governs absolutely.,"=IF(COUNTIF({""assisted-person"",""operator""},""assisted-person"")>0,""Halt - withdrawal by assisted person"",""Continue"")",True
220,Contact Force and Pressure Limits,Internal,§115.5,115,—,D6 World Model & Perception,Knowledge,D6.ch115,"Replace the exclusion-distance constraint with a contact constraint set: force and pressure limits registered per body region so a within-limit force over a reduced area is not thereby permitted, registered contact regions, a contact velocity below free-motion velocity, consent currency, and absence of any configuration from which the person could not be released; a violation halts rather than adjusts. Registered values derive from the hazard analysis and the governing standard's biomechanical limits rather than from figures stated in this specification.",Measured force and pressure at each contact region must not exceed the limit registered for that region.,"=IF(28<=65,""Within registered limit for contact region"",""Halt - force limit exceeded"")",True
221,Release as Default Failure State,Internal,§115.6,115,—,D6 World Model & Perception,Knowledge,D6.ch115,"Design and register every unit so that power loss, control-signal loss, safety-path fault or any halt releases the person rather than retaining them — a gripper that holds on power loss traps whom it was assisting. A weight-bearing unit is excepted only where its registration records redundant support: its safe state is controlled retention with an alert and a bounded interval for transferring support. The release path does not traverse the reasoning path and must operate where that path is unavailable entirely.",Any fault or halt yields release; retention is permitted only for a registered weight-bearing unit with redundant support.,"=IF(0=0,""Safe release executed"",""Fault - grip retained"")",True
222,Support Redundancy for Weight-Bearing,Internal,§115.5,115,—,D6 World Model & Perception,Knowledge,D6.ch115,"Maintain support for a person whose weight is borne through at least two independent means so no single failure withdraws support; a unit registered without redundant support may not bear weight. Contact is never initiated from inference — only on request by the assisted person, by an operator under held consent, or within a consented task sequence — and no record of the person's body, movement, capability or dependency is constructed, retained or made queryable.",A weight-bearing command requires at least two independent support means confirmed present.,"=IF(2>=2,""Redundant support confirmed"",""Refused - single point of support"")",True
223,Energy Descent and Termination,Internal,§116.1,116,—,D4 Retrieval & Response,Reasoning,D4.ch116,"Ground convergence in the monotonic decrease of E = -1/2 sum over distinct pairs of w_ij s_i s_j, so termination follows from the descent rather than from an iteration bound and a given initial configuration under given weights reaches an identical stable state every execution; distinguish termination from uniqueness, the capacity bound making a spurious state improbable rather than impossible.","E = -1/2 sum_{i<j} w_ij s_i s_j; each accepted update strictly decreases E, so no configuration recurs.",=-0.5*(2*1*1*1+2*-1*1*1+2*1*1*1+2*1*1*1+2*-1*1*1+2*1*1*1),True
224,Bounded Frame Reconstruction,Internal,§116.3,116,—,D6 World Model & Perception,Knowledge,D6.ch116,Complete a partially-observed sensor frame by converging observed regions to the nearest stored configuration; bound the completed region's confidence above by the lesser of the observed regions' confidence and the stored configuration's; render it inadmissible as grounding so it supports no assertion and moves no confidence value; produce nothing where convergence fails within the iteration ceiling and report the gap instead.,"Reconstructed confidence = MIN(observed confidence, stored-configuration confidence).","=MIN(0.94,0.88)",True
225,Reconstruction Marking,Internal,§116.3,116,—,D6 World Model & Perception,Knowledge,D6.ch116,"Mark every reconstructed region as reconstructed so it is never presented as observed; a frame carrying an acknowledged hole is truthful, a frame whose hole has been filled with an inference presented as observation is not.",A region is presented as observed only where it was observed; a converged region carries the reconstructed marking.,"=IF(COUNTIF({""observed"",""reconstructed""},""reconstructed"")>0,""Marked reconstructed; not presented as observed"",""Observed region"")",True
226,Difference-Preserving Alignment,Internal,§116.4,116,—,D3 Ontology & Conceptual Structure,Knowledge,,"Align timelines, sequences and editions by convergence only where the divergence falls below the configured threshold, treating that as extraction variance; preserve a divergence at or above threshold as a genuine difference and preserve any divergence that cannot be classified, since erasing a real difference costs a reader the fact while preserving a spurious one costs a footnote; record incompatible content between preserved editions in the contradiction index.",Converge where divergence < threshold; preserve where divergence >= threshold or is unclassifiable.,"=IF(0.31>=0.15,""Genuine edition difference - preserved"",""Extraction variance - converged"")",True
227,Control Oscillation Fault,Internal,§116.5,116,—,D6 World Model & Perception,Knowledge,D6.ch116,"Damp oscillation and jitter in a control signal by convergence, evaluating the damped command against the constraint set identically to an undamped one so damping never brings a command within a limit it would otherwise exceed; where control-error sign changes reach the configured frequency across a window, raise a control fault, cease damping and invoke the halt path, because a persistently damped oscillation is a concealed fault rather than a stabilised loop.",Sign changes of the control error across the window >= configured frequency raises a fault and halts.,"=IF(5>=4,""Oscillation - raise control fault"",""Control stable"")",True
228,One-Hop Concept Adjacency Set,User-Facing,§113.8.1,113,Reader,D13 Commerce & Entitlement Tokens,Platform,D13.ch113,"Supply commercial selection with the query's resolved concept identifier together with concepts one edge away, computed at the point of supply after retrieval, stabilization and generation complete; restrict to adjacency-bearing edge types — subsumption, part-whole, registered general association — excluding causal, temporal and contradiction edges, since a concept related as a cause or a contradiction is not thereby one the reader wants offered; perform no traversal from an adjacent concept, so two-edge concepts never enter the set.",An adjacent concept is admitted only where its connecting edge type is registered as adjacency-bearing and lies within one hop.,"=IF(COUNTIF({""IS-A"",""PART-OF"",""RELATED-TO""},""CAUSES"")>0,""Edge type permitted for adjacency"",""Refused - edge type not in adjacency set"")",True
229,Adjacency Scope Confinement,User-Facing,§113.8.1,113,Reader,D13 Commerce & Entitlement Tokens,Platform,D13.ch113,"Exclude from the adjacency set any concept lying outside the requester's scope description, and do not signal the exclusion, so the existence of a concept beyond a requester's entitlement cannot be inferred from what was advertised to them; the adjacency set is recomputed per request and retained no longer than the request.",An adjacent concept enters the set only where the requester's scope description admits it.,"=IF(COUNTIF({""in-scope"",""out-of-scope""},""out-of-scope"")>0,""Refused - adjacent concept outside requester scope"",""Adjacent concept admitted"")",True
230,Attenuated Adjacency Relevance,User-Facing,§113.8.2,113,Reader,D13 Commerce & Entitlement Tokens,Platform,D13.ch113,"Let an adjacent concept participate in the relevance factor alone and never in eligibility, so an ineligible item does not become eligible by matching a neighbour; attenuate relevance computed through adjacency relative to relevance against the query concept itself, so a direct match outranks a neighbour match; leave the three existing weights unchanged and summing to unity.","Score = 0.4*relevance + 0.3*source-priority + 0.3*bid, with adjacency-derived relevance attenuated below direct relevance.",=0.4*0.72+0.3*0.7+0.3*0.6,True
231,Convergence Regime Disclosure,Internal,§116.2.1,116,—,D4 Retrieval & Response,Reasoning,D4.ch116,"Operate each network under exactly one recorded convergence regime and return with every derived output an indication of which was in effect: a spectral-norm contraction guaranteeing a unique equilibrium by construction, or a capacity bound below the retrieval-phase boundary rendering a differing converged state improbable rather than impossible. The two support different statements about an identical output and a recipient cannot distinguish them from the output itself. The election is a member of the permanently-excluded subsystem set, changed only by an operator and recorded with that operator's identity, so no internally-generated proposal can elect the weaker regime to obtain freer weight updates.","Exactly one regime is in effect per network; the output discloses which, and the election cannot be altered from within the system.","=IF(COUNTIF({""unique-equilibrium"",""capacity-bounded""},""unique-equilibrium"")>0,""Disclose: unique equilibrium guaranteed"",""Disclose: capacity-bounded convergence"")",True
232,Trial Budget and Scheduling,Admin,§117.1,117,Operator,D11 Platform Governance & Evolution,Platform,D11.ch117,"Meter every trial as a bounded compute-accounting slice in a trial category with a per-interval budget; schedule trial slices below safety evaluation without exception, below requester-serving slices and below ingestion; defer a trial exceeding its allocation rather than serving it at reduced priority, so a campaign cannot degrade the system it measures. Trials are free of physical consequence — nothing wears, is damaged or crashes — but not free of cost; the cost shifts from equipment and risk to compute and scheduling, and is recorded so an operator decides with a figure in front of them.",A trial executes only where the trial-category budget for the interval is not exceeded; otherwise it defers.,"=IF(AND(2400<=5000,1=1),""Test budget within allocation"",""Deferred - would contend with production slices"")",True
233,Trial Isolation and Non-Application,Admin,§117.2,117,Operator,D11 Platform Governance & Evolution,Platform,D11.ch117,"Execute trials against an isolated corpus and configuration: construct no production knowledge record, adjust no production confidence value, emit no command to physical equipment outside simulation, deliver no output to a requester. Record results as trial records excluded from ordinary scope descriptions. Apply nothing — a finding is emitted as a proposal requiring a named human approval, and ten million trials produce the same class of output as one: evidence for a person to act on. Regression blocks rather than reports: a case passing before a change and failing after it withholds the change.",A change is applied only where no previously-passing trial case regresses; a regression withholds the change.,"=IF(COUNTIF({""passed"",""regressed""},""regressed"")>0,""Refused - previously-passing case now fails"",""Regression clear"")",True
234,Trial Space Coverage,Admin,§117.5,117,Operator,D11 Platform Governance & Evolution,Platform,D11.ch117,"Enumerate the trial space per layer rather than sampling it, execute cases from the enumeration, and record coverage as the executed proportion together with an enumeration of the cases not executed, so the residue is stated rather than left as an unexamined assumption. Exhaustive mode is where the absence of physical cost pays: a space prohibitive to explore with equipment can be explored completely.","Coverage = executed cases / enumerated trial space, with uncovered cases listed individually.",=847/920,True
235,Determinism Verification,Admin,§117.5,117,Operator,D11 Platform Governance & Evolution,Platform,D11.ch117,"Measure determinism as the proportion of repeated trials over an identical corpus state and configuration yielding an identical semantic fingerprint; a measurement spanning a corpus that changed between trials is not a determinism measurement, since confidence legitimately moves as evidence accumulates. Any value below unity is a defect rather than a tolerance. The §96.9 probes applied inward measure the claimed property directly rather than a proxy.",Determinism = identical-fingerprint repeats / total repeats over an unchanged corpus state; the only passing value is 1.0.,"=IF(1000/1000>=0.999,""Determinism verified across trial set"",""Defect - determinism not reproduced"")",True
236,Simulation Is Not Clearance,Admin,§117.6,117,Operator,D11 Platform Governance & Evolution,Platform,D11.ch117,"Treat a trial result concerning equipment as evidence about a model, never as clearance to operate: clearance comes from hazard analysis, verification and certification on the specific unit in its configuration. Where a simulation and a physical trial disagree, the physical trial governs and the disagreement is recorded as a finding about the simulation. A campaign may contribute to a hazard analysis as one input; it may not conclude one.","Operation is cleared only by unit certification; a simulation pass, at any scale, does not substitute.","=IF(COUNTIF({""simulation-pass"",""unit-certification""},""unit-certification"")>0,""Cleared for operation"",""Refused - simulation is not clearance"")",True
237,Graspable Object Registration,Admin,§120.1,120,Operator,D6 World Model & Perception,Knowledge,D6.ch120,"Register each graspable object with mass, permitted grip force, fragility limit and admissible contact regions; refuse to grasp an unregistered object rather than inferring grip force from appearance, since an inference about how hard to squeeze something errs destructively and immediately. Apply the least of the unit's force ceiling, the object's fragility limit, and the computed requirement raised by the configured margin — the margin applied before the limits, so it can never carry force above one.","Applied force = MIN(unit ceiling, fragility limit, required force x (1 + margin)).","=MIN(18,15,12.4*1.15)",True
238,Slip Response and Controlled Release,Internal,§120.2,120,—,D6 World Model & Perception,Knowledge,D6.ch120,"Detect slip from divergence between commanded and observed object position during a held grasp; increase applied force toward the lesser of unit ceiling and fragility limit and no further; where slip continues at that bound, release under control rather than tightening, recording object, force at release and observed slip rate. The fragility limit is a limit, not a target: an object that will not be held within it is an object not to be held.","On slip, force rises to MIN(ceiling, fragility); continued slip at that bound triggers controlled release.","=IF(COUNTIF({""within-limit"",""at-limit""},""at-limit"")>0,""Release under control"",""Increase force toward limit"")",True
239,Gripper Opens on Fault,Internal,§120.3,120,—,D6 World Model & Perception,Knowledge,D6.ch120,"Register every manipulator so power loss, control-signal loss, safety-path fault or any halt opens the gripper. Plan each grasp so the fall path is unobstructed before the grasp is made, refusing trajectories whose release path is obstructed; on an obstruction entering during a held grasp, move to the nearest pose with a clear path and, failing that, retain and raise a fault. A dropped object is a cost; a crushed object, a trapped hand and an object no one can command are worse.",Any fault or halt opens the gripper; retention is permitted only where the release path is obstructed and no clear pose exists.,"=IF(0=0,""Gripper opens; object released"",""Fault - object retained"")",True
240,Handover Release Condition,User-Facing,§120.4,120,Reader,D6 World Model & Perception,Knowledge,D6.ch120,"Perform handover under the Chapter 115 authorization, presenting the object within reach and applying no force toward the person; release on detected support sustained across the configured interval, and on timeout lower the object under control to a registered surface rather than releasing into the air. Never pull, never resist a person taking the object, never re-grasp what a person has taken, and never press an object against anyone.","Release occurs only on sustained detected support; absent it, controlled lowering rather than release.","=IF(COUNTIF({""stable-support"",""no-support""},""stable-support"")>0,""Release to recipient"",""Retain - controlled lowering on timeout"")",True
241,Navigable Region Registration,Admin,§121.1,121,Operator,D6 World Model & Perception,Knowledge,D6.ch121,"Register a navigable region — travelable surfaces, boundaries, excluded zones — in place of a fixed operating volume, since free space in a shared corridor changes faster than a plan can be recomputed. Maintain a continuously-updated clearance model as session-scoped working state, never admitted as a knowledge record, and halt motion where the model exceeds its staleness bound.",Motion proceeds only within the registered navigable region and only on a clearance model within its staleness bound.,"=IF(COUNTIF({""corridor-A"",""atrium"",""loading-bay""},""restricted-ward"")>0,""Region admitted"",""Refused - outside registered navigable region"")",True
242,Clearance-Bounded Speed,Internal,§121.2,121,—,D6 World Model & Perception,Knowledge,D6.ch121,"Bound commanded speed by the lesser of the unit's registered maximum and a configured coefficient times the clearance ahead, so the unit slows as space closes rather than holding speed until an obstacle forces a stop; stopping distance at every permitted speed stays below the clearance that permitted it. No task parameter, priority or deadline raises the coefficient — a machine that hurried when late would be fastest exactly when its planning was worst.","Permitted speed = MIN(registered maximum, coefficient x clearance).","=MIN(1.5,0.6*0.6)",True
243,Unconditional Yield,Internal,§121.3,121,—,D6 World Model & Perception,Knowledge,D6.ch121,"Yield to a person on every path conflict: stop or withdraw along the path already travelled, never routing around at speed, never signalling for accommodation, never computing which party should give way — a person who cannot predict a machine cannot avoid it. Resolve unit-to-unit conflicts by registered ordering rather than negotiation, faulting both on persistent deadlock. Never maintain a following distance behind a person.","Where a person's path conflicts with the unit's, the unit yields without exception.","=IF(COUNTIF({""machine"",""person""},""person"")>0,""Yield - person has right of way"",""Proceed"")",True
244,Motion-Only Clearance Envelope,Internal,§121.4,121,—,D6 World Model & Perception,Knowledge,D6.ch121,"Compute the occupied envelope for a person from observed position and velocity over a short window and from nothing else: no identity, no history beyond the window, no retention past the interval governed, and no availability to any other mechanism or interface. Where observed motion does not support an envelope, treat the full reachable region as occupied rather than assuming continuation, since an assumption about where someone will go is what produces a collision when they do otherwise.",The envelope derives from observed motion alone; identity may not inform it.,"=IF(COUNTIF({""observed-motion"",""identity""},""identity"")>0,""Refused - identity may not inform the envelope"",""Envelope computed from motion alone"")",True
245,Stop Rather Than Relax,Internal,§121.5,121,—,D6 World Model & Perception,Knowledge,D6.ch121,"Where no path satisfies the constraint set, stop: do not reduce a clearance requirement to find a path, do not proceed slowly through a sub-minimum clearance, do not select a least-violating trajectory. Report the obstruction with the clearance model after the configured interval and await an operator. A gate reached often is a gate under pressure to become a preference, which is why this is restated for a condition that will invoke it frequently.",A path is admitted only where its clearance meets the configured minimum; otherwise the unit stops.,"=IF(0.28>=0.35,""Path admitted"",""Stop - no path satisfies the clearance minimum"")",True
246,Predictive Level Registration,Internal,§122.1,122,—,"D5 Inference, Prediction & Calibration",Reasoning,D5.ch122,"Maintain four hierarchically ordered expectation levels — lexical (the next element within a record), sequential (the next record given a sequence), conceptual (an instance attribute given its concept), invariant (a regularity of the world model) — each predicting within its own scope and never predicting what a level above it predicts.",An expectation is evaluated only at a registered level of the hierarchy.,"=IF(COUNTIF({""lexical"",""sequential"",""conceptual"",""invariant""},""conceptual"")>0,""Level registered"",""Refused - unregistered expectation level"")",True
247,Lowest-Level Error Attribution,Internal,§122.2,122,—,"D5 Inference, Prediction & Calibration",Reasoning,D5.ch122,"Attribute a prediction error to the lowest level whose residual accounts for the configured share of total residual, applying revision at that level alone and passing nothing upward; a mis-parsed sentence says nothing about physics. Without this rule a mis-read unit propagates until it perturbs a physical constraint, and a system revising invariants on parsing errors becomes less reliable the more it reads.",Level share = level residual / total residual; attribution goes to the lowest level clearing the configured share.,=0.42/(0.42+0.31+0.08+0.05),True
248,Escalation Gate,Internal,§122.3,122,—,"D5 Inference, Prediction & Calibration",Reasoning,D5.ch122,"Escalate to a level only where every level below it fails the share test, so a conceptual revision requires lexical and sequential residuals below the share and an invariant revision requires all three below it; an invariant is revised only where the observation survived every cheaper explanation. Revision magnitude at the attributed level remains governed by precision weighting, so attribution fixes where and precision fixes how far.",A level is attributed only where each lower level's residual falls below the configured share.,"=IF(0.4884>=0.4,""Attribute to lowest accounting level"",""Escalate to next level"")",True
249,Unattributed Error Retention,Internal,§122.3,122,—,"D5 Inference, Prediction & Calibration",Reasoning,D5.ch122,"Where no level clears the share, record the observation in the contradiction index and apply no revision anywhere — an error no level accounts for is a finding about the hierarchy, not an instruction to it; surface repeated unattributed errors against a common expectation as a pattern, since one is noise and a hundred is a missing level. No level revises a registered physical constraint; an apparently contradicting observation enters the index rather than relaxing it.",An unattributed error is recorded and applied nowhere; physical constraints are never revised by observation.,"=IF(COUNTIF({""attributed"",""unattributed""},""unattributed"")>0,""Recorded in contradiction index; no revision applied"",""Revision applied at attributed level"")",True
250,Edge-Class Traversal Cost,Internal,§123.1,123,—,D4 Retrieval & Response,Reasoning,D4.ch123,"Assign each edge class a traversal cost and bound pre-activation by a budget in cost units rather than by hop count: semantic edges cheap because meaning stays informative over distance, editorial dearer because relevance decays across version boundaries, temporal dearest because adjacency in time is weak evidence of relatedness and a long walk gathers noise. Costs are registered configuration recorded with the response, never adjusted by the system from its own experience.",Budget consumed = sum over classes of (hops x cost); traversal halts when the registered budget is exhausted.,"=IF(12*1+2*3+0*8<=24,""Within propagation budget"",""Refused - budget exceeded"")",True
251,Propagation Reach by Class,Internal,§123.1,123,—,D4 Retrieval & Response,Reasoning,D4.ch123,"Derive each edge class's reach from its cost against the traversal budget, so a query may reach widely through meaning and shallowly through time at the same cost as the reverse; traversal is bounded by construction rather than by a stopping heuristic, and the same query under the same cost table pre-activates the same set on every execution.",Reach of a class = budget / cost per hop for that class.,"=MIN(24/1,24/3,24/8)",True
252,Tri-Temporal Posture,User-Facing,§123.2,123,—,"D5 Inference, Prediction & Calibration",Reasoning,,"Resolve a query in exactly one of three postures and state which produced the answer: attested past under the attestation-horizon cutoff, live present reading the live layer over the committed layer, or projected future carrying a credible interval. Past and present results are ordinary knowledge records; a projected result is never admitted as a record and never grounds a subsequent generation. Where a response draws on more than one posture each proposition carries its own, so a difference between answers reads as a difference of posture rather than an inconsistency.",A result is admissible as grounding only where its posture is attested-past or live-present; projected-future is labelled and withheld.,"=IF(COUNTIF({""past"",""present"",""future""},""future"")>0,""Forecast - labelled, not admitted as record"",""Attested state - admissible"")",True
253,Six-Dimensional Coherence,Internal,§124.1,124,—,"D5 Inference, Prediction & Calibration",Reasoning,D5.ch124,"Compute a coherence value across semantic, temporal, spatial, editorial, media and evidential dimensions, each derived from mechanisms already specified, and take the least of the six as governing rather than the mean, since a mean lets five strong dimensions conceal the one weak dimension that is the actual finding.",coherence = MIN over the six dimensional values; the governing dimension is named with the result.,"=MIN(0.94,0.88,0.91,0.62,0.90,0.86)",True
